document_id,entropy
22202,2.807213535603467
1190,2.6858785622129715
9162,2.5768436206625904
16735,2.625664222673904
15981,2.389161963708044
14608,2.6466658427956684
24795,2.6250215654698295
23940,2.421946713130177
5460,2.4798807968726075
4672,2.3733979026153076
16090,3.01192465277659
9152,3.0012958312422238
16174,2.873400090071844
16797,2.8223777472417395
6179,2.4425839073181064
15314,2.631125972072023
22040,2.9360062361373442
17223,2.8331995200798885
25957,3.0478948005420845
15270,2.8163185918952354
22128,2.5564248739439717
6084,2.9415282115597097
20891,2.5601548240318937
16498,2.853117038188833
3639,2.7417649011807135
18912,2.8132831043335353
14851,1.8853136722946806
20870,2.498214582390886
16948,2.91223983503363
11798,2.4202638537019565
17502,2.3422071301067167
12050,3.0929880399568086
3525,2.823174101466702
11888,3.0787111871022517
18097,2.2542530905292577
23715,2.908213339279766
6876,2.950302956050336
7653,2.965967381838496
16421,2.958995242976102
21184,3.0783392662197815
19952,2.6620351993723084
26315,2.8397891982327113
9495,2.136664956801398
6214,2.0163575427756752
13093,1.7576736421049717
13124,2.4624294786551233
19416,2.908995315610677
20749,2.1766660423283173
10105,3.0211233524972196
7221,2.9726140843044715
2724,2.189868466685133
13744,3.0032762531161623
13222,2.503248439780259
9038,2.704804649575524
14321,2.206036164026495
2129,2.6283456783634964
17405,3.197635899448559
5979,2.683028672777118
20555,3.069054941416007
4639,2.8099839105973405
16839,2.904804741627711
8028,2.1654596553738563
8292,2.416862283989185
2084,2.7227117367402744
5925,2.7012008299528056
775,3.0212508633406046
7542,2.6464232233766634
23642,3.245092491882416
7251,2.741981649393061
23094,2.850427510500282
3643,3.082418875415896
12267,2.585761975056072
536,2.795416875668538
26964,3.3348098763689715
3498,2.861164393277997
12054,3.045993597570724
24718,2.802812133790147
14176,2.5533423570102483
25056,2.924600036411526
6595,2.673115692890603
14084,2.450107308188209
4749,2.1789145648730486
4168,3.0751435733816472
13160,2.670094398632394
2715,2.968383534816793
23611,2.9930733843339334
10819,3.092971127249746
11153,1.916918998751373
16792,3.1245442301755353
19784,2.2847729236594096
8295,2.5677337655557917
24501,2.0803417794303756
8832,2.98559462470466
16875,2.7560997044920676
15590,2.4405055015458315
10812,2.652968962300839
6916,2.9768368441990187
10620,2.918131936633768
8617,2.6835393610755296
26208,2.768512625943394
13815,1.8446667253631472
11074,3.2380755997509736
15538,2.7022952260044213
2734,2.8179167515764396
14237,3.24124522888065
20479,2.6615568306330295
20628,2.675388021428018
8505,3.1426414982688398
19881,2.963116445154605
22503,3.130112536066968
7090,2.4541615025094767
15862,2.537206705830241
21571,2.6271776344118014
18961,2.7211013720274213
25134,2.590774113705057
13228,2.9126258904647684
18898,2.809891499407702
4413,2.796402437031641
14118,3.0163577406406596
26393,2.7916219146891694
25404,2.902686722996891
19716,3.0590170370502423
18095,2.9318798743158494
24495,3.1741507883418008
8602,2.958211042915734
9426,2.857647147800733
14368,3.0137730184036116
4057,2.1807698378366775
10331,2.900250522133315
26446,2.8286066105066756
12738,2.462800492142599
22942,2.920345192152443
20699,2.858760585739309
15428,2.799690971441245
13955,2.949997524983375
13354,3.098170651732139
11946,2.4671119415966554
8099,2.8211949249678123
19332,2.8987407416386897
1666,3.06924881636832
1635,3.0185970970787817
13424,2.85003098600299
8739,2.8964182540448506
24439,2.9677804636038507
19202,2.95356182878432
9891,3.052095549779378
26109,2.7898695222759553
3035,2.988623167267734
17707,2.7368483741487433
10134,3.0342052659965857
9300,2.993409524959019
15292,2.7446872144855354
23136,2.8690656652349347
15308,2.9099376704878477
3142,2.727679169052973
20057,2.9354282645229364
18740,3.135860239286012
14790,2.650420600975901
3473,2.576145116239381
1937,2.8647448240788305
25963,2.65448048664296
16275,2.7784201206877728
4387,2.461994018598951
18946,2.4719791714391186
16291,2.893136669120735
21818,2.830594145786705
24116,2.6493983581259783
16705,2.653948786062991
24824,2.140379521777728
5339,2.8980152807195836
8610,2.873896803252647
22781,2.4834423835561634
24205,3.0165330490098263
10013,3.0686093328140887
23963,2.6964991603646506
3096,3.1501060051198797
13940,2.4465338028742636
23979,2.807867300076973
9504,2.8037172226199534
16700,2.985364144706862
3995,2.7076175515051673
474,2.932157541497571
19922,2.768976454688963
9278,2.692576145794627
10397,2.4325586874015612
13520,3.2817748490887144
18947,3.019589630110567
8267,2.6924335345794095
16828,2.830896615408699
20430,2.7027216006089763
19020,3.1064349984571273
21864,2.4280912730498962
25399,2.9759962695304343
23474,2.743625647353164
1610,2.9208445727722983
24210,2.715622214690584
11170,3.042887445356752
1182,2.8848708002800936
22624,2.8660893607670084
17278,2.9298993069411794
19736,2.594251410491056
14214,3.1486240079859487
5953,2.8033888245666354
6392,2.7644792143012853
