threshold,fpr,tpr
0.97946894,0.00072000,0.02776000
0.97871906,0.00080000,0.02992000
0.97875208,0.00080000,0.02968000
0.97875071,0.00080000,0.02976000
0.97873092,0.00080000,0.02984000
0.97884846,0.00080000,0.02928000
0.97880983,0.00080000,0.02936000
0.97878611,0.00080000,0.02944000
0.97878522,0.00080000,0.02952000
0.97875458,0.00080000,0.02960000
0.97869247,0.00088000,0.02992000
0.97851336,0.00088000,0.03016000
0.97853482,0.00088000,0.03008000
0.97866666,0.00088000,0.03000000
0.97837138,0.00088000,0.03048000
0.97834694,0.00088000,0.03072000
0.97836202,0.00088000,0.03064000
0.97836542,0.00088000,0.03056000
0.97849405,0.00088000,0.03024000
0.97844201,0.00088000,0.03032000
0.97843051,0.00088000,0.03040000
0.97818464,0.00088000,0.03144000
0.97811115,0.00088000,0.03176000
0.97803223,0.00088000,0.03200000
0.97806942,0.00088000,0.03192000
0.97809106,0.00088000,0.03184000
0.97790110,0.00088000,0.03248000
0.97790092,0.00088000,0.03256000
0.97785598,0.00088000,0.03264000
0.97803169,0.00088000,0.03208000
0.97832322,0.00088000,0.03088000
0.97831523,0.00088000,0.03096000
0.97829014,0.00088000,0.03104000
0.97791183,0.00088000,0.03240000
0.97815019,0.00088000,0.03152000
0.97812998,0.00088000,0.03160000
0.97811913,0.00088000,0.03168000
0.97785097,0.00088000,0.03272000
0.97774750,0.00088000,0.03304000
0.97764426,0.00088000,0.03328000
0.97771740,0.00088000,0.03320000
0.97773725,0.00088000,0.03312000
0.97828668,0.00088000,0.03112000
0.97834295,0.00088000,0.03080000
0.97757077,0.00088000,0.03360000
0.97760576,0.00088000,0.03336000
0.97799027,0.00088000,0.03216000
0.97798473,0.00088000,0.03224000
0.97792929,0.00088000,0.03232000
0.97756177,0.00088000,0.03368000
0.97756028,0.00088000,0.03376000
0.97753268,0.00088000,0.03384000
0.97779739,0.00088000,0.03288000
0.97782826,0.00088000,0.03280000
0.97778350,0.00088000,0.03296000
0.97826642,0.00088000,0.03120000
0.97821850,0.00088000,0.03136000
0.97758943,0.00088000,0.03344000
0.97758591,0.00088000,0.03352000
0.97826296,0.00088000,0.03128000
0.97747213,0.00096000,0.03400000
0.97740036,0.00096000,0.03408000
0.97750956,0.00096000,0.03392000
0.97751993,0.00096000,0.03384000
0.97738510,0.00112000,0.03408000
0.97725016,0.00112000,0.03456000
0.97726530,0.00112000,0.03448000
0.97729152,0.00112000,0.03440000
0.97730219,0.00112000,0.03432000
0.97733444,0.00112000,0.03424000
0.97722024,0.00112000,0.03472000
0.97733736,0.00112000,0.03416000
0.97723138,0.00112000,0.03464000
0.97720361,0.00112000,0.03480000
0.97716445,0.00120000,0.03480000
0.97714406,0.00120000,0.03488000
0.97713166,0.00120000,0.03496000
0.97707874,0.00120000,0.03504000
0.97704095,0.00120000,0.03536000
0.97707599,0.00120000,0.03512000
0.97705847,0.00120000,0.03520000
0.97704554,0.00120000,0.03528000
0.97693187,0.00128000,0.03552000
0.97693956,0.00128000,0.03544000
0.97692698,0.00128000,0.03560000
0.97694153,0.00128000,0.03536000
0.97688466,0.00136000,0.03576000
0.97690761,0.00136000,0.03560000
0.97690672,0.00136000,0.03568000
0.97683734,0.00136000,0.03584000
0.97682810,0.00144000,0.03584000
0.97681195,0.00144000,0.03592000
